Experiment start. 

Data :	 6
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.437500	 taskstep variance 2.064582	 total taskstep 12.000000	 robotstep 62.000000	 robotstep mean 53.250000	 robotstep variance 5.118594	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.625000	 taskstep variance 1.821172	 total taskstep 11.000000	 robotstep 71.000000	 robotstep mean 60.312500	 robotstep variance 6.150542	 total robotstep 79.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 8.000000	 taskstep variance 1.932184	 total taskstep 10.000000	 robotstep 79.000000	 robotstep mean 65.500000	 robotstep variance 7.118052	 total robotstep 88.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 9.687500	 taskstep variance 2.495830	 total taskstep 13.000000	 robotstep 73.000000	 robotstep mean 60.937500	 robotstep variance 6.276610	 total robotstep 82.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 8.750000	 taskstep variance 1.879716	 total taskstep 11.000000	 robotstep 79.000000	 robotstep mean 63.812500	 robotstep variance 8.010150	 total robotstep 83.000000
RandomNoPair Algorithm fails! 
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 7.875000	 taskstep variance 1.892969	 total taskstep 10.000000	 robotstep 68.000000	 robotstep mean 56.000000	 robotstep variance 5.633235	 total robotstep 71.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.375000	 taskstep variance 2.028957	 total taskstep 12.000000	 robotstep 63.000000	 robotstep mean 54.750000	 robotstep variance 5.335416	 total robotstep 66.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 7.875000	 taskstep variance 1.892969	 total taskstep 10.000000	 robotstep 66.000000	 robotstep mean 55.500000	 robotstep variance 5.416026	 total robotstep 70.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 7.937500	 taskstep variance 1.611159	 total taskstep 10.000000	 robotstep 73.000000	 robotstep mean 60.375000	 robotstep variance 6.020797	 total robotstep 78.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.625000	 taskstep variance 2.187083	 total taskstep 12.000000	 robotstep 68.000000	 robotstep mean 57.187500	 robotstep variance 5.924174	 total robotstep 72.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.062500	 taskstep variance 2.264766	 total taskstep 13.000000	 robotstep 67.000000	 robotstep mean 55.375000	 robotstep variance 6.075909	 total robotstep 69.000000
RandomNoPair Algorithm :	 taskstep 12.000000	 taskstep mean 9.750000	 taskstep variance 2.081666	 total taskstep 12.000000	 robotstep 80.000000	 robotstep mean 67.687500	 robotstep variance 7.040064	 total robotstep 92.000000
RandomNoPair Algorithm :	 taskstep 13.000000	 taskstep mean 10.000000	 taskstep variance 2.366432	 total taskstep 13.000000	 robotstep 68.000000	 robotstep mean 56.437500	 robotstep variance 6.772186	 total robotstep 71.000000
RandomNoPair Algorithm :	 taskstep 10.000000	 taskstep mean 7.750000	 taskstep variance 1.843909	 total taskstep 10.000000	 robotstep 72.000000	 robotstep mean 58.125000	 robotstep variance 6.206180	 total robotstep 76.000000
RandomNoPair Algorithm :	 taskstep 11.000000	 taskstep mean 9.187500	 taskstep variance 1.327592	 total taskstep 11.000000	 robotstep 85.000000	 robotstep mean 69.375000	 robotstep variance 7.274384	 total robotstep 93.000000
